iter	Passed	Remaining
711	5323	2153
712	5330	2145
713	5337	2137
714	5344	2130
715	5351	2122
716	5358	2115
717	5365	2107
718	5372	2099
719	5379	2091
720	5386	2084
721	5393	2076
722	5400	2068
723	5407	2061
724	5413	2053
725	5420	2045
726	5427	2038
727	5434	2030
728	5442	2023
729	5449	2015
730	5456	2008
731	5464	2000
732	5471	1993
733	5478	1985
734	5485	1977
735	5492	1970
736	5501	1963
737	5508	1955
738	5514	1947
739	5521	1940
740	5528	1932
741	5535	1924
742	5543	1917
743	5550	1909
744	5557	1902
745	5564	1894
746	5571	1886
747	5578	1879
748	5585	1871
749	5592	1864
750	5599	1856
751	5606	1848
752	5613	1841
753	5620	1833
754	5627	1826
755	5634	1818
756	5642	1811
757	5649	1803
758	5656	1796
759	5663	1788
760	5670	1780
761	5677	1773
762	5684	1765
763	5691	1758
764	5698	1750
765	5705	1742
766	5712	1735
767	5719	1727
768	5726	1720
769	5732	1712
770	5740	1704
771	5746	1697
772	5759	1691
773	5765	1683
774	5772	1675
775	5779	1668
776	5786	1660
777	5793	1653
778	5799	1645
779	5807	1637
780	5814	1630
781	5821	1622
782	5827	1615
783	5835	1607
784	5842	1600
785	5849	1592
786	5856	1585
787	5863	1577
788	5869	1569
789	5876	1562
790	5883	1554
791	5890	1547
792	5897	1539
793	5904	1531
794	5911	1524
795	5921	1517
796	5938	1512
797	5959	1508
798	5973	1502
799	5991	1497
800	6006	1492
801	6014	1484
802	6021	1477
803	6028	1469
804	6036	1462
805	6043	1454
806	6050	1447
807	6057	1439
808	6064	1431
809	6071	1424
810	6078	1416
811	6084	1408
812	6091	1401
813	6098	1393
814	6105	1385
815	6112	1378
816	6120	1370
817	6127	1363
818	6134	1355
819	6141	1348
820	6148	1340
821	6155	1332
822	6162	1325
823	6169	1317
824	6175	1310
825	6182	1302
826	6190	1294
827	6196	1287
828	6204	1279
829	6211	1272
830	6218	1264
831	6225	1257
832	6233	1249
833	6240	1242
834	6248	1234
835	6255	1227
836	6262	1219
837	6269	1211
838	6276	1204
839	6283	1196
840	6290	1189
841	6297	1181
842	6304	1174
843	6310	1166
844	6317	1158
845	6325	1151
846	6332	1143
847	6339	1136
848	6346	1128
849	6353	1121
850	6360	1113
851	6367	1106
852	6374	1098
853	6380	1090
854	6388	1083
855	6394	1075
856	6401	1068
857	6408	1060
858	6415	1053
859	6422	1045
860	6430	1038
861	6437	1030
862	6445	1023
863	6452	1015
864	6460	1008
865	6467	1000
866	6474	993
867	6481	985
868	6488	978
869	6496	970
870	6503	963
871	6510	955
872	6517	948
873	6524	940
874	6532	933
875	6539	925
876	6546	918
877	6553	910
878	6560	903
879	6567	895
880	6574	887
881	6580	880
882	6587	872
883	6594	865
884	6601	857
885	6609	850
886	6615	842
887	6623	835
888	6631	827
889	6638	820
890	6645	813
891	6652	805
892	6659	797
893	6666	790
894	6673	782
895	6680	775
896	6687	767
897	6693	760
898	6700	752
899	6707	745
900	6714	737
901	6721	730
902	6728	722
903	6735	715
904	6747	708
905	6757	701
906	6773	694
907	6794	688
908	6810	681
909	6817	674
910	6824	666
911	6831	659
912	6838	651
913	6846	644
914	6853	636
915	6859	629
916	6866	621
917	6873	613
918	6880	606
919	6887	598
920	6894	591
921	6901	583
922	6908	576
923	6915	568
924	6922	561
925	6929	553
926	6936	546
927	6943	538
928	6950	531
929	6957	523
930	6964	516
931	6971	508
932	6977	501
933	6984	493
934	6992	486
935	6999	478
936	7006	471
937	7014	463
938	7022	456
939	7031	448
940	7044	441
941	7055	434
942	7064	427
943	7071	419
944	7078	411
945	7084	404
946	7092	396
947	7098	389
948	7106	381
949	7113	374
950	7120	366
951	7127	359
952	7134	351
953	7141	344
954	7148	336
955	7155	329
956	7162	321
957	7169	314
958	7176	306
959	7183	299
960	7190	291
961	7197	284
962	7203	276
963	7210	269
964	7218	261
965	7225	254
966	7232	246
967	7241	239
968	7248	231
969	7255	224
970	7262	216
971	7268	209
972	7275	201
973	7282	194
974	7289	186
975	7296	179
976	7303	171
977	7310	164
978	7317	156
979	7325	149
980	7331	142
981	7338	134
982	7345	127
983	7352	119
984	7359	112
985	7366	104
986	7373	97
987	7380	89
988	7387	82
989	7394	74
990	7400	67
991	7407	59
992	7414	52
993	7422	44
994	7429	37
995	7437	29
996	7444	22
997	7451	14
998	7458	7
999	7466	0
